# Detecting actual CPU count: 4 detected
# JMH version: 1.37
# VM version: JDK 17.0.9, OpenJDK 64-Bit Server VM, 17.0.9+8-LTS
# VM invoker: /home/ubuntu/.sdkman/candidates/java/17.0.9-amzn/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: benchmark.MyBenchmark.httpBenchmark

# Run progress: 0.00% complete, ETA 00:33:20
# Fork: 1 of 5
# Warmup Iteration   1: 61496.352 ops/s
# Warmup Iteration   2: 65191.528 ops/s
# Warmup Iteration   3: 65044.568 ops/s
# Warmup Iteration   4: 64907.731 ops/s
# Warmup Iteration   5: 64472.716 ops/s
Iteration   1: 65460.714 ops/s
Iteration   2: 64884.657 ops/s
Iteration   3: 65089.235 ops/s
Iteration   4: 65576.955 ops/s
Iteration   5: 65308.273 ops/s

# Run progress: 5.00% complete, ETA 00:31:46
# Fork: 2 of 5
# Warmup Iteration   1: 62430.719 ops/s
# Warmup Iteration   2: 64173.057 ops/s
# Warmup Iteration   3: 64529.752 ops/s
# Warmup Iteration   4: 64123.625 ops/s
# Warmup Iteration   5: 63777.847 ops/s
Iteration   1: 64170.393 ops/s
Iteration   2: 63960.454 ops/s
Iteration   3: 64446.645 ops/s
Iteration   4: 64517.659 ops/s
Iteration   5: 64102.022 ops/s

# Run progress: 10.00% complete, ETA 00:30:05
# Fork: 3 of 5
# Warmup Iteration   1: 61557.213 ops/s
# Warmup Iteration   2: 64162.255 ops/s
# Warmup Iteration   3: 64253.392 ops/s
# Warmup Iteration   4: 63563.415 ops/s
# Warmup Iteration   5: 63265.389 ops/s
Iteration   1: 64065.345 ops/s
Iteration   2: 63704.509 ops/s
Iteration   3: 64259.978 ops/s
Iteration   4: 61386.969 ops/s
Iteration   5: 64093.086 ops/s

# Run progress: 15.00% complete, ETA 00:28:25
# Fork: 4 of 5
# Warmup Iteration   1: 63313.184 ops/s
# Warmup Iteration   2: 63435.410 ops/s
# Warmup Iteration   3: 65085.891 ops/s
# Warmup Iteration   4: 65186.477 ops/s
# Warmup Iteration   5: 63344.317 ops/s
Iteration   1: 59335.727 ops/s
Iteration   2: 61532.449 ops/s
Iteration   3: 64759.179 ops/s
Iteration   4: 64004.535 ops/s
Iteration   5: 64263.573 ops/s

# Run progress: 20.00% complete, ETA 00:26:44
# Fork: 5 of 5
# Warmup Iteration   1: 63075.813 ops/s
# Warmup Iteration   2: 63075.630 ops/s
# Warmup Iteration   3: 64268.396 ops/s
# Warmup Iteration   4: 64556.672 ops/s
# Warmup Iteration   5: 64555.042 ops/s
Iteration   1: 64711.315 ops/s
Iteration   2: 59434.937 ops/s
Iteration   3: 59499.939 ops/s
Iteration   4: 63411.632 ops/s
Iteration   5: 63539.139 ops/s


Result "benchmark.MyBenchmark.httpBenchmark":
  63580.773 ±(99.9%) 1385.093 ops/s [Average]
  (min, avg, max) = (59335.727, 63580.773, 65576.955), stdev = 1849.060
  CI (99.9%): [62195.680, 64965.866] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 17.0.9, OpenJDK 64-Bit Server VM, 17.0.9+8-LTS
# VM invoker: /home/ubuntu/.sdkman/candidates/java/17.0.9-amzn/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: benchmark.MyBenchmark.jnrBenchmark

# Run progress: 25.00% complete, ETA 00:25:04
# Fork: 1 of 5
# Warmup Iteration   1: 60802.847 ops/s
# Warmup Iteration   2: 64438.231 ops/s
# Warmup Iteration   3: 63747.324 ops/s
# Warmup Iteration   4: 62813.988 ops/s
# Warmup Iteration   5: 61059.111 ops/s
Iteration   1: 64685.516 ops/s
Iteration   2: 63305.597 ops/s
Iteration   3: 63495.015 ops/s
Iteration   4: 60743.625 ops/s
Iteration   5: 64294.938 ops/s

# Run progress: 30.00% complete, ETA 00:23:24
# Fork: 2 of 5
# Warmup Iteration   1: 62966.821 ops/s
# Warmup Iteration   2: 64640.130 ops/s
# Warmup Iteration   3: 43728.700 ops/s
# Warmup Iteration   4: 42631.548 ops/s
# Warmup Iteration   5: 50092.442 ops/s
Iteration   1: 50130.805 ops/s
Iteration   2: 48742.839 ops/s
Iteration   3: 51078.024 ops/s
Iteration   4: 51223.947 ops/s
Iteration   5: 55542.330 ops/s

# Run progress: 35.00% complete, ETA 00:21:43
# Fork: 3 of 5
# Warmup Iteration   1: 60971.991 ops/s
# Warmup Iteration   2: 59331.292 ops/s
# Warmup Iteration   3: 58517.745 ops/s
# Warmup Iteration   4: 57639.896 ops/s
# Warmup Iteration   5: 61915.065 ops/s
Iteration   1: 63014.662 ops/s
Iteration   2: 57792.382 ops/s
Iteration   3: 59531.985 ops/s
Iteration   4: 58752.638 ops/s
Iteration   5: 60658.159 ops/s

# Run progress: 40.00% complete, ETA 00:20:03
# Fork: 4 of 5
# Warmup Iteration   1: 60813.523 ops/s
# Warmup Iteration   2: 63050.079 ops/s
# Warmup Iteration   3: 63228.507 ops/s
# Warmup Iteration   4: 61305.034 ops/s
# Warmup Iteration   5: 53174.959 ops/s
Iteration   1: 61370.249 ops/s
Iteration   2: 60264.435 ops/s
Iteration   3: 62358.486 ops/s
Iteration   4: 63159.956 ops/s
Iteration   5: 63124.173 ops/s

# Run progress: 45.00% complete, ETA 00:18:23
# Fork: 5 of 5
# Warmup Iteration   1: 58641.510 ops/s
# Warmup Iteration   2: 62438.601 ops/s
# Warmup Iteration   3: 64288.082 ops/s
# Warmup Iteration   4: 65008.871 ops/s
# Warmup Iteration   5: 62915.698 ops/s
Iteration   1: 56319.672 ops/s
Iteration   2: 63884.444 ops/s
Iteration   3: 55451.373 ops/s
Iteration   4: 58604.891 ops/s
Iteration   5: 64371.840 ops/s


Result "benchmark.MyBenchmark.jnrBenchmark":
  59276.079 ±(99.9%) 3635.864 ops/s [Average]
  (min, avg, max) = (48742.839, 59276.079, 64685.516), stdev = 4853.774
  CI (99.9%): [55640.215, 62911.943] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 17.0.9, OpenJDK 64-Bit Server VM, 17.0.9+8-LTS
# VM invoker: /home/ubuntu/.sdkman/candidates/java/17.0.9-amzn/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: benchmark.MyBenchmark.junixBenchmark

# Run progress: 50.00% complete, ETA 00:16:42
# Fork: 1 of 5
# Warmup Iteration   1: 66722.035 ops/s
# Warmup Iteration   2: 68868.349 ops/s
# Warmup Iteration   3: 68746.828 ops/s
# Warmup Iteration   4: 68444.198 ops/s
# Warmup Iteration   5: 68814.427 ops/s
